Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2020-11-17 00:00:00.0;22.50138;63;1002.589;20.5722
2020-11-18 00:00:00.0;23.2;70;1002.975;12.68538
2020-11-19 00:00:00.0;23.493;69;1003.864;25.44714
2020-11-20 00:00:00.0;24.02708;67;1003.56;26.0763
2020-11-21 00:00:00.0;23.85625;62;1003.16;22.22316
2020-11-22 00:00:00.0;25.75973;57;1003.85;27.49854
2020-11-23 00:00:00.0;28.13056;49;999.1179;28.27884
2020-11-24 00:00:00.0;32.80278;39;995.334;25.54386
2020-11-25 00:00:00.0;26.975;84;996.5177;3.823741
2020-11-26 00:00:00.0;25.5625;84;1002.236;18.6141
2020-11-27 00:00:00.0;27.07083;74;1001.771;25.15878
2020-11-28 00:00:00.0;27.39861;90;999.3352;10.8858
2020-11-29 00:00:00.0;23.91944;88;1000.168;17.92938
2020-11-30 00:00:00.0;24.41041;87;1004.601;26.43539
2020-12-01 00:00:00.0;26.59236;81;999.9347;23.65896
2020-12-02 00:00:00.0;24.54167;99;994.593;3.83052
2020-12-03 00:00:00.0;24.52292;86;998.6138;26.05188
2020-12-04 00:00:00.0;23.17708;78;1007.692;17.24448
2020-12-05 00:00:00.0;19.42222;75;1011.942;28.76862
2020-12-06 00:00:00.0;20.15;77;1008.233;28.44546
2020-12-07 00:00:00.0;22.66389;76;1005.015;27.87666
2020-12-08 00:00:00.0;24.69098;72;1003.453;28.85238
2020-12-09 00:00:00.0;26.77847;69;1003.199;28.92726
2020-12-10 00:00:00.0;29.12708;59;996.2963;28.97394
2020-12-11 00:00:00.0;29.22917;56;994.0332;25.5405
2020-12-12 00:00:00.0;26.10764;72;994.1375;20.7438
2020-12-13 00:00:00.0;22.84336;98;1000.047;2.82954
2020-12-14 00:00:00.0;20.71042;76;1000.711;26.20926
2020-12-15 00:00:00.0;25.15765;78;997.9657;19.77913
2020-12-16 00:00:00.0;26.4882;71;1001.674;23.4093
2020-12-17 00:00:00.0;28.03217;62;1000.542;28.3665
2020-12-18 00:00:00.0;29.82028;63;993.4112;27.37668
2020-12-19 00:00:00.0;25.87847;81;994.2843;23.30845
2020-12-20 00:00:00.0;23.38957;72;1002.612;27.13307
2020-12-21 00:00:00.0;23.59028;65;1006.449;29.26476
2020-12-22 00:00:00.0;24.71597;62;1004.34;29.91024
2020-12-23 00:00:00.0;25.25069;68;1000.892;29.22372
2020-12-24 00:00:00.0;27.73472;68;998.4132;28.60777
2020-12-25 00:00:00.0;26.40904;89;1000.023;7.584119
